Minisector,SAI,RAI,Fastest
0,229.1635366421578,228.6174742210954,SAI
1,275.9630004906667,281.08186267375504,RAI
2,288.81529487893386,297.2691666529524,RAI
3,293.9431819082251,302.93039258944526,RAI
4,264.9101764766338,256.8904758646962,SAI
5,162.06999251215282,158.61693343268382,SAI
6,255.15611252483401,256.3609059934047,RAI
7,270.13121690299823,275.2197115076923,RAI
8,212.4943962532213,199.921490093849,SAI
9,215.30381957174117,217.27597969425128,RAI
10,179.0255325811966,171.13799393884292,SAI
11,220.8711698933155,221.47430659078373,RAI
12,203.68315075409515,195.93903581527704,SAI
13,216.74639062235835,202.50613306666665,SAI
14,222.6770623641207,222.07022044423658,SAI
15,174.74262648888887,174.29126340911134,SAI
16,240.78435893578413,246.20369894421768,RAI
17,276.5955480015238,284.5269668229043,RAI
18,287.52883031718426,298.17516672,RAI
19,281.21047476419045,286.0892950593092,RAI
20,129.97738987645675,125.08675503158665,SAI
21,162.90177650817841,146.0313450730233,SAI
22,151.54559111885726,158.24209162388732,RAI
23,201.6265467019567,188.53842219313157,SAI
24,145.82099657797957,141.52328963658405,SAI
25,180.46666666666667,,SAI
