Minisector,PER,VET,Fastest
0,297.9229166222222,302.7381943111111,VET
1,273.36390631714517,287.3249520395986,VET
2,173.60312965028606,172.45783527414153,PER
3,204.79595248463238,199.17848409339734,PER
4,221.26665567544447,228.17919007122893,VET
5,265.38386176313844,269.26084461751805,VET
6,224.03244224794815,227.04944618666667,VET
7,215.24745787785506,202.1585809857583,PER
8,166.72984512454957,162.0533000187617,PER
9,177.08008950687832,176.3643933233083,PER
10,188.5304245695144,180.44868142455553,PER
11,211.82073852039235,206.9502443809832,PER
12,242.27791677167434,234.28019917864378,PER
13,171.96718999802118,169.4289340606675,PER
14,245.68749842962964,248.3817753904762,VET
15,272.08866646552383,274.6929952256638,VET
16,267.5616989948718,263.7149255991394,PER
17,261.3399562904067,255.06226982904997,PER
18,246.21381419369493,249.65154275555557,VET
19,248.97544685714288,248.4504852430335,PER
20,261.1768759392744,261.2373341157103,VET
21,193.71278608243665,194.84481974167363,VET
22,225.8269415780938,220.77694013161917,PER
23,273.6608325973333,277.236719595427,VET
24,290.0659487130247,295.2901228017458,VET
25,294.83749973333335,300.0,VET
