Minisector,RUS,HUL,Fastest
0,300.5682144454581,300.67836737460937,HUL
1,189.33378183889255,179.97162872382754,RUS
2,219.79446824998433,221.4070157854601,HUL
3,276.6176866676223,274.7130043594068,RUS
4,228.99886166003702,240.1617844562154,HUL
5,124.37511196437053,122.42753890566878,RUS
6,203.87883494945254,193.2068545590739,RUS
7,239.08772608857188,234.67842824983146,RUS
8,236.26056991619896,226.47973424069207,RUS
9,226.46116696543885,223.24096564470008,RUS
10,273.2150347796582,272.80596346145643,RUS
11,289.73115356286996,289.8704106858054,HUL
12,296.4746942399718,298.9934331497488,HUL
13,298.92778810372727,303.65653439153436,HUL
14,297.73357142857145,305.66444796426464,HUL
15,227.56901305677488,246.67116290187744,HUL
16,226.90821337740826,223.38286899437966,RUS
17,270.9428997579742,272.6114048865071,HUL
18,285.48652090637495,290.54181983371564,HUL
19,139.6030917788288,145.40762227512954,HUL
20,195.4431641573585,198.14015232229548,HUL
21,184.10726748435414,181.09036100141006,RUS
22,134.72808346515114,137.2689479352534,HUL
23,236.83597061142112,236.50060199787927,RUS
24,282.63795683221883,280.10299137084513,RUS
25,297.1194974021604,298.5282608695652,HUL
