Minisector,RUS,STR,Fastest
0,287.8369932214665,287.676326624462,RUS
1,293.1511597339194,289.9052789683185,RUS
2,163.48729003803987,166.58317829111544,STR
3,221.70419113771732,220.24834233101146,RUS
4,268.5893458680112,270.815873015873,STR
5,289.00896892026145,292.3165501412987,STR
6,298.04765453605444,299.8572374886181,STR
7,163.10405229714286,181.6024824646733,STR
8,126.29149908396222,127.6404066752945,STR
9,246.2071954225037,248.57821534901154,STR
10,280.61389742406857,282.39711597755434,STR
11,292.7569993386667,288.90420385238093,RUS
12,141.04757496593845,146.18348316105426,STR
13,188.71361365679653,195.2658623788034,STR
14,252.76577093437294,255.54531223064043,STR
15,205.2280218744179,209.79156264607636,STR
16,208.98189903417492,219.2512795319467,STR
17,209.29313426136062,213.88742961995462,STR
18,236.65314926724085,241.5264989177489,STR
19,272.8876611511449,276.84868942576105,STR
20,291.3992158512045,291.7186763545098,STR
21,262.3317130195128,262.18748689906585,RUS
22,221.77256877005962,223.82555750205748,STR
23,206.60795610389613,202.25346402328043,RUS
24,261.40893550667147,261.6001465271481,STR
