Minisector,VET,SAI,Fastest
0,259.6154458542846,250.91049525652218,VET
1,300.72642291127465,281.78729130666665,VET
2,174.853126849929,169.60284408353172,VET
3,166.5656295765518,167.06996562367164,SAI
4,259.4480357942857,254.906952595671,VET
5,268.5890937792245,267.3696067663534,VET
6,224.38237206153846,222.47517701305114,VET
7,199.0574409322571,201.06265443983014,SAI
8,158.5844106213642,160.28621121893502,SAI
9,222.4589178062861,224.30842609894768,SAI
10,275.2999374275689,270.55738632727275,VET
11,134.39182191635612,131.73417299434516,VET
12,221.7773829121398,214.0448547779254,VET
13,282.3942461968254,275.66057167528345,VET
14,304.3893546799019,296.63151019798204,VET
15,310.57523176296297,304.60745611228066,VET
16,241.8866660266667,232.21751653982886,VET
17,130.82265250294665,130.73151347745258,VET
18,133.4126704253968,128.03515496298078,VET
19,121.83685040329426,119.53201494098761,VET
20,224.7307623862857,216.8362332329311,VET
21,250.37770597543772,248.8579699942029,VET
22,236.61718778514285,234.6507686206239,VET
23,219.79124951583495,214.26686777320188,VET
24,134.4963148580139,136.20806139913418,SAI
25,221.93333333333334,219.44791466666666,VET
