Minisector,PIA,BEA,Fastest
0,328.99536458333336,324.3512756825397,PIA
1,224.6163542746495,225.875805985974,BEA
2,134.93163562999501,130.0266966138273,PIA
3,220.3673149511111,216.70515164223605,PIA
4,265.1332098765432,261.1423311632567,PIA
5,292.57598897582415,288.6562663335845,PIA
6,302.0974172511006,304.52343175887955,BEA
7,279.1014705882353,268.4690041596761,PIA
8,180.36806784792,174.08035633085197,PIA
9,243.38427736006682,242.1722357664413,PIA
10,267.70626148705094,273.90042713766235,BEA
11,260.42648838857144,266.3342221796779,BEA
12,214.91852813852813,202.4643644730736,PIA
13,127.33748194481075,120.94504767352304,PIA
14,122.70197606329675,121.58902564955211,PIA
15,175.66008387445888,163.35725282907498,PIA
16,121.42564367195314,124.4024067744066,BEA
17,230.99675505050507,231.63829832793567,BEA
18,183.7941424514271,178.8466630247619,PIA
19,164.59576707724867,159.36430274553044,PIA
20,248.43889704981157,244.84204884723246,PIA
21,276.9178042328042,276.3683988799853,PIA
22,294.4988234875817,295.74347316622226,BEA
23,304.6954676042723,313.5616426109904,BEA
24,310.5018576388889,323.8158097188571,BEA
25,312.0,,PIA
