Minisector,BOT,SAI,Fastest
0,294.31989168818325,292.73364991643257,BOT
1,297.1414357333333,297.7955676444444,SAI
2,170.40572917003027,171.94536959898744,SAI
3,228.79174336397517,234.58652511081192,SAI
4,276.0233602950658,276.43605044641197,SAI
5,293.16980648841997,292.54495629473683,BOT
6,299.24814820740744,298.4346509851588,BOT
7,158.25573942992193,170.13630023972942,SAI
8,141.00400624211184,145.9685532682809,SAI
9,253.68841389192502,252.0466649005003,BOT
10,285.91271893333334,281.15617408160665,BOT
11,297.3010049465707,293.3671297777778,BOT
12,147.25828423208281,157.06523005057838,SAI
13,206.71475423583541,208.1309312,SAI
14,264.7952016627354,263.98053669391504,BOT
15,203.88786735238094,219.96396224904757,SAI
16,226.64516726121974,237.48168394348752,SAI
17,215.4652085333333,235.77236611951622,SAI
18,246.92209523155668,252.2471945723356,SAI
19,277.68329307816975,276.61629022836155,BOT
20,294.15342539386756,291.25526546517386,BOT
21,262.9709750566893,276.4996020825397,SAI
22,220.62733983962588,242.26499154165845,SAI
23,213.6882331282619,221.67767981601722,SAI
24,269.2094734809778,270.45916762666667,SAI
25,282.0,284.27500053333335,SAI
