Minisector,LAW,GAS,Fastest
0,285.03366304839744,277.04848555499933,LAW
1,299.93296402739776,295.8718576635638,LAW
2,280.31443291812326,276.19967778411575,LAW
3,162.14861779929825,164.1357018444629,GAS
4,114.18707103307032,111.87574530249158,LAW
5,240.60669807545864,236.38734781084065,LAW
6,287.40920252554866,288.08672611301824,GAS
7,293.72225545016,292.20975668420385,LAW
8,168.8244516537442,168.05532130085226,LAW
9,137.81394304430424,131.2995706491505,LAW
10,251.91457253836373,244.584767323623,LAW
11,287.54375694506666,293.57373564561544,GAS
12,290.258587001479,297.4099177728858,GAS
13,263.61037196751516,261.0504759249419,LAW
14,281.6186002720999,284.7494944006349,GAS
15,277.5040264751211,281.12644402662085,GAS
16,239.1012343206597,241.08564208536052,GAS
17,213.40469280440513,211.08565331267556,LAW
18,280.35446846687273,278.5255660586226,LAW
19,299.8025509877551,300.00201454811514,GAS
20,298.92092982724637,299.51613618906526,GAS
21,216.6008607595171,212.6577264225944,LAW
22,244.4555457690667,235.32706446821027,LAW
23,128.3220781024906,132.8238775888791,GAS
24,209.51416558314574,201.18604942296994,LAW
