Minisector,VER,SAI,Fastest
0,287.55898862688167,287.6426458352941,SAI
1,136.22619047619048,126.47827362265106,VER
2,154.25634251009134,149.6344940723196,VER
3,227.54761904761904,220.28219587878786,VER
4,165.5977281742789,157.60513659149825,VER
5,242.13492063492063,243.9224542222222,SAI
6,233.58761454469936,211.10760575072464,VER
7,139.60859935302275,133.3726176975238,VER
8,232.62965417543438,234.50905106085764,SAI
9,275.83796296296293,278.59173714285714,SAI
10,286.5432287333333,286.63999188571427,SAI
11,154.506451372043,145.15435978220157,VER
12,218.56592281904764,221.49679783764174,SAI
13,269.4953288216002,272.27919449996836,SAI
14,272.3106481185185,288.1028646666667,SAI
15,105.75473108171099,111.54189274702797,SAI
16,219.47712355680025,198.38015966984128,VER
17,271.8666666666667,268.65514779607844,VER
18,293.9236978,293.0890628,VER
19,305.0947619352381,306.2971429892064,SAI
20,311.4547619047619,313.2901588520635,SAI
21,292.0203138666667,306.51901888608717,SAI
22,159.33779735560267,157.58749973333335,VER
23,237.44407887719296,222.91031126106054,VER
24,278.61282798861015,273.52800285490196,VER
25,290.3749984,289.6250005333333,VER
