Minisector,HAM,MAG,Fastest
0,287.92828922273634,293.5486719873836,MAG
1,298.0222067169369,303.1865474342857,MAG
2,279.58832053360067,278.48645626755473,HAM
3,107.56607775611444,102.75433726942063,HAM
4,216.58412551616067,218.3377062848,MAG
5,275.3335707631746,271.58587961984136,HAM
6,219.56829580507954,218.08523678819847,HAM
7,157.20686677280688,151.37786950211176,HAM
8,208.1067172243897,214.82759570533725,MAG
9,214.43887066307298,211.35182681668306,HAM
10,114.27833791970386,110.41286794183412,HAM
11,222.71958758051068,225.99334445398443,MAG
12,115.49075811603831,120.56938615679076,MAG
13,218.36118553515342,216.13717146380952,HAM
14,279.3018054737888,275.4944650679596,HAM
15,225.42868713488252,213.62553922866212,HAM
16,187.34643858561452,179.22789548611337,HAM
17,246.3801738111844,247.64600647082892,MAG
18,205.46849123666667,204.56099059877118,HAM
19,178.57472527201256,170.5672796158396,HAM
20,260.4069565430857,258.8125418745708,HAM
21,286.5358849276112,288.9941934485426,MAG
22,160.2491939273443,168.5602011698475,MAG
23,202.77336997613574,208.82287987411138,MAG
24,271.267127246071,270.73934197956515,HAM
25,,285.6468744,MAG
