Minisector,LEC,PIA,Fastest
0,304.8090248999619,303.07624460720496,LEC
1,138.0252620121022,138.08319298050577,PIA
2,213.0371762587199,210.74276473143013,LEC
3,278.05289656261874,271.857040080202,LEC
4,319.5583647129252,310.24183106039624,LEC
5,318.97989964083456,319.08107266181815,PIA
6,147.37749670097335,148.56901237148628,PIA
7,243.29984345212625,238.5684155066306,LEC
8,114.89789075697031,113.22690855315287,LEC
9,140.2938104309179,141.71755151178056,PIA
10,273.3514478040381,270.2527474770338,LEC
11,300.06482128979593,295.901779464127,LEC
12,252.18025204370005,256.2195475531057,PIA
13,159.79910896146924,150.54586445754717,LEC
14,271.0959420176281,271.13217456716757,PIA
15,308.7943583631078,305.3518202715724,LEC
16,327.3464079622161,321.45687621090906,LEC
17,337.6181855552532,329.3618526247304,LEC
18,348.0544197371429,335.41177978666667,LEC
19,349.65136271879703,337.53224140672967,LEC
20,211.3717360500022,251.51223835173576,PIA
21,152.06412597270224,149.77734282264524,LEC
22,270.1147018899549,270.09311004539666,LEC
23,312.2321499830303,310.6745232975463,LEC
24,328.02972219555556,325.03095767688313,LEC
25,,322.0750005333333,PIA
