Minisector,RIC,GAS,Fastest
0,266.662194076822,267.9856342405211,GAS
1,284.44008474009144,285.6338365947584,GAS
2,290.8272654565375,292.84782571226924,GAS
3,136.58839914829437,126.75591252927703,RIC
4,197.41496222475533,198.896953704456,GAS
5,255.79140031378023,253.80423320294273,RIC
6,148.15123654006732,139.84326416876135,RIC
7,204.78798804162872,206.08568895584415,GAS
8,255.50405290741347,257.8039887227701,GAS
9,278.14128975904197,278.25416634074077,GAS
10,246.24313012098713,224.81139217766008,RIC
11,185.7411520204357,177.97580819089703,RIC
12,193.58433525393932,197.00839203070663,GAS
13,152.57864623081036,141.4862072253248,RIC
14,174.2752257659097,173.3687905250118,RIC
15,161.5752291730674,156.9647708975203,RIC
16,217.89424766984126,219.87231077690245,GAS
17,234.43801563972033,228.96735651367865,RIC
18,238.6496399422952,234.5202409264552,RIC
19,246.504166933853,228.29066536441016,RIC
20,147.17752669963642,148.45864540849718,GAS
21,138.900352319121,130.13802141493431,RIC
22,171.55619959262782,173.8948853529714,GAS
23,153.45251555767769,150.51700897650056,RIC
24,226.5016974296472,229.1966808056162,GAS
25,254.95833066666665,,RIC
