Minisector,HAM,PER,Fastest
0,292.1707197750567,291.7931874806187,HAM
1,302.5666453762844,309.6771931508772,PER
2,307.50352638586145,317.45424389135803,PER
3,307.81805556825395,311.663389677586,PER
4,215.03676033845122,198.05638774349205,HAM
5,232.2638348307692,220.45585602065154,HAM
6,272.8968867044291,265.6707819064182,HAM
7,277.96939505720593,270.4123099151515,HAM
8,207.38529173646947,197.5243069534097,HAM
9,165.0224549569747,161.83485690800026,HAM
10,193.36456530866153,181.25188910833333,HAM
11,264.2792339137572,256.2660260980115,HAM
12,263.9607199152772,252.49888035352382,HAM
13,240.21434666116366,233.56673600000002,HAM
14,279.2175722136646,272.23185247410197,HAM
15,189.99847802781377,177.56033995319726,HAM
16,229.35709795555556,221.10334087082717,HAM
17,256.53038596404224,247.5640906002384,HAM
18,144.89389815962053,137.40691553280524,HAM
19,246.20599401021397,241.1919133979145,HAM
20,282.4261901714286,277.8620750157224,HAM
21,266.38600708123005,256.00819737613523,HAM
22,156.77970075897434,148.80436482902493,HAM
23,222.54049781036593,213.17499956721784,HAM
24,274.69428032132504,269.29741486551154,HAM
25,281.1714285714286,281.0916672,HAM
