Minisector,OCO,ALO,Fastest
0,301.34393011757714,294.0789772329004,OCO
1,315.90979157333334,314.50679809122806,OCO
2,323.03608394147966,326.3306878306878,ALO
3,319.9333041066667,325.98625673573633,ALO
4,183.12830333476353,256.90329924444444,ALO
5,220.64353931553754,184.51173973867654,OCO
6,268.91155287272727,253.30163014492751,OCO
7,264.6108661003951,277.9218554358435,ALO
8,184.62330773333332,197.31481446906145,ALO
9,149.3925255799638,205.827220456604,ALO
10,182.7748947162034,133.43632695407152,OCO
11,260.89185606870797,242.53372763419918,OCO
12,248.048230553887,268.9287607757576,ALO
13,230.07439670304905,213.08688046891814,OCO
14,267.36117415757576,258.50833303188404,OCO
15,171.4579485722919,219.41518990385998,ALO
16,223.57687345718662,181.19351271815412,OCO
17,246.7517736174221,255.1987848888889,ALO
18,138.73479749202556,147.85057651111055,ALO
19,241.6549118602147,202.6944391249956,OCO
20,279.22182542222225,268.19428998847286,OCO
21,238.22274392447514,293.34559101964646,ALO
22,145.87801559957285,157.0053619339979,ALO
23,215.67330591811458,174.04544027315242,OCO
24,276.52698325148276,255.50185104457577,OCO
25,,279.0499989333333,ALO
