Minisector,SAI,ALO,Fastest
0,316.29311873469544,319.57644961656314,ALO
1,323.9634056347826,329.29829541818185,ALO
2,327.33134923174606,328.28195738781335,ALO
3,207.49878666008064,194.93752459666177,SAI
4,113.9108594738495,116.92105786668394,ALO
5,260.95406741105575,263.03095362721086,ALO
6,296.89105697315927,299.7723960471336,ALO
7,312.9461228363978,313.50510814236077,ALO
8,291.0907475294761,285.4127362883989,SAI
9,140.0824637863653,138.09531700804976,SAI
10,219.13838448484847,217.36867723111848,SAI
11,209.42880730768098,206.38038076530302,SAI
12,193.9028568554648,192.35435493832568,SAI
13,263.3764104522046,263.81026729251704,ALO
14,299.54097204444446,302.9189082900339,ALO
15,317.2626812289855,317.40688408115943,ALO
16,262.50650716734697,253.88072375451438,SAI
17,193.47883104397928,198.87322236444047,ALO
18,265.04152414589123,268.1602489134157,ALO
19,299.7137145695348,303.57504891767513,ALO
20,315.7202896695652,318.48026339774003,ALO
21,309.5267553985731,298.748166784,SAI
22,201.87962933333336,202.725227827451,ALO
23,260.42356035389787,260.0686540920605,SAI
24,297.58190439619045,300.30104133333333,ALO
