Minisector,VER,VET,Fastest
0,247.90206491257084,242.55471255281518,VER
1,280.8165631006211,268.36733333333336,VER
2,193.11311157849673,184.1382699685731,VER
3,152.31039570001292,156.5035725460033,VET
4,258.8199071604938,258.0570512820513,VER
5,268.4036856485696,258.50422842469135,VER
6,223.77763914666667,205.70252525252525,VER
7,195.3450229827991,198.97080953904762,VET
8,151.34589595154222,147.91102988054902,VER
9,209.57217197619048,209.3421875,VER
10,274.9448333482667,265.10160258461536,VER
11,127.09583409382715,127.59507205364712,VET
12,202.4861101381818,208.3653298761101,VET
13,268.4737178666667,265.55685837705465,VER
14,287.056965543437,286.5966666666667,VER
15,294.580303030303,290.722463768116,VER
16,256.14806301092324,230.50803841107606,VER
17,134.89728418935775,135.60380795241556,VET
18,129.25690242344322,130.19425032863143,VET
19,121.36456669528445,119.12119859157559,VER
20,223.87590443367682,219.1984375,VER
21,256.71739865387144,251.62530134199054,VER
22,245.26717740408162,234.1132183908046,VER
23,224.3432066608055,216.9650119606811,VER
24,138.73034992691638,138.6282865936508,VER
25,206.0,,VER
