Minisector,RIC,SAI,Fastest
0,282.29629777777774,287.6426458352941,SAI
1,129.621403562477,127.89660534218217,RIC
2,167.62634856208163,147.19467168288992,RIC
3,223.36729226666665,223.99206273015872,SAI
4,170.31273782623765,157.11384160467574,RIC
5,246.38662640072985,243.9224542222222,RIC
6,219.66704766060604,215.3852241939394,RIC
7,139.23211178719222,131.08690341180952,RIC
8,235.69669990893289,232.72290577224538,RIC
9,275.87328409635853,278.59173714285714,SAI
10,278.68578560000003,286.63999188571427,SAI
11,146.74455863988547,144.19147512539539,RIC
12,223.31422958951515,217.82854397097503,RIC
13,269.96966708891733,271.20812813885897,SAI
14,270.73235312941176,288.04305564444445,SAI
15,106.71908880653383,115.37522608036132,SAI
16,220.74395749391502,191.41878977722567,RIC
17,273.71214307220976,264.9793988740741,RIC
18,294.5319841930159,292.0265628,RIC
19,304.72281098140905,305.6971429892064,SAI
20,310.099000010898,313.0845239238095,SAI
21,292.5174098,306.51901888608717,SAI
22,159.39902986666667,156.78749955555557,RIC
23,237.9640354245614,216.3514871438672,RIC
24,279.8270760309385,271.60741455686275,RIC
25,291.03333333333336,288.63333404444444,RIC
