Minisector,PIA,GAS,Fastest
0,328.99536458333336,327.37472590637805,PIA
1,224.6163542746495,246.64563212010802,GAS
2,134.93163562999501,130.49941424859747,PIA
3,220.3673149511111,216.7134420593027,PIA
4,265.1332098765432,263.1154270190476,PIA
5,292.57598897582415,288.48269469595766,PIA
6,302.0974172511006,298.74712955880125,PIA
7,279.1014705882353,283.98955175195766,GAS
8,180.36806784792,175.46205450910475,PIA
9,243.38427736006682,240.67970674750103,PIA
10,267.70626148705094,269.94561301124185,GAS
11,260.42648838857144,257.9809349029129,PIA
12,214.91852813852813,206.02570325887444,PIA
13,127.33748194481075,119.30700874325025,PIA
14,122.70197606329675,118.8648093476336,PIA
15,175.66008387445888,170.60867732763347,PIA
16,121.42564367195314,122.51077468086507,GAS
17,230.99675505050507,224.5575465683117,PIA
18,183.7941424514271,190.70072561100528,GAS
19,164.59576707724867,158.1026330725772,PIA
20,248.43889704981157,242.76436768128437,PIA
21,276.9178042328042,269.8503469203361,PIA
22,294.4988234875817,288.49523172148145,PIA
23,304.6954676042723,299.4073431057198,PIA
24,310.5018576388889,305.4896297125926,PIA
25,312.0,308.0,PIA
