Minisector,ALO,RIC,Fastest
0,293.5243058984127,307.482579754946,RIC
1,245.80044673094017,232.31435062003712,ALO
2,194.3479512859896,187.48090804722955,ALO
3,261.8579172644571,260.7837901598797,ALO
4,223.65475166440487,215.16136909593632,ALO
5,111.73309334345667,106.08771771356962,ALO
6,168.44020283426798,169.29609440151464,RIC
7,252.74353917554382,252.5093649986317,ALO
8,286.1187153267864,290.9474291748571,RIC
9,301.3523717183626,315.32777396825395,RIC
10,306.55833281038963,325.00865687997646,RIC
11,237.2266005846154,205.5174193677037,ALO
12,139.25190063358923,141.72699914412766,RIC
13,253.11547830902433,253.73616532169746,RIC
14,287.127289140959,290.87000777142856,RIC
15,297.32407106762867,302.5479373902065,RIC
16,288.0565949087076,299.04156325604094,RIC
17,255.9038341924579,247.40751690478427,ALO
18,177.46232472323052,169.5099724325838,ALO
19,177.52645411341797,165.8195547816104,ALO
20,180.1758609993645,183.36891709213603,RIC
21,240.44318165876277,235.27159230769232,ALO
22,115.71090853891603,108.80360545212606,ALO
23,190.30922163645477,201.25991762186183,RIC
24,272.1174713701903,283.0215076383824,RIC
25,285.8125008,,ALO
