Minisector,PER,VET,Fastest
0,299.3724206222222,299.91865344799584,VET
1,302.32648689301357,304.20764771076546,VET
2,296.2320802005013,303.8767553122807,VET
3,220.3596153846154,218.16028447719162,PER
4,225.11368426348798,225.46402591695238,VET
5,116.70380076070651,119.74006966086456,VET
6,226.06105764102566,225.55427383763785,PER
7,267.55158730158735,268.67757030951947,VET
8,224.60416689230772,223.93793352478633,PER
9,124.06691856452726,121.39181007090272,PER
10,241.29275357681158,240.32756523387658,PER
11,238.71511603904545,251.5122359466667,VET
12,136.36434108527132,136.35610002604264,PER
13,218.5421096980406,216.572223782063,PER
14,266.7083332848485,266.510416,PER
15,220.08733784088054,229.98208939976485,VET
16,167.70404736,164.2345165279256,PER
17,238.95929657538133,244.53928713527884,VET
18,121.2097287199793,123.9905015999683,VET
19,147.12568711256364,145.13600968501234,PER
20,199.18864187068377,190.2305212007154,PER
21,254.85903677229436,252.65692706691019,PER
22,272.61349206349206,272.6874424545282,VET
23,281.8461058937212,282.3655173577143,VET
24,291.20041664,291.9764365390976,VET
25,296.12916586666665,298.14999964444445,VET
