Minisector,RUS,TSU,Fastest
0,298.11879007237746,289.9369453657143,RUS
1,165.84976054185634,163.5627567217516,RUS
2,155.7751004803186,156.13202498388694,TSU
3,233.01898387548715,238.4047651879243,TSU
4,285.6402991656517,289.7388644920029,TSU
5,287.6516716672831,282.70816413671844,RUS
6,143.66192805061044,146.17556166077952,TSU
7,147.71350698895247,138.55588041923139,RUS
8,136.71894494517556,141.52478156995704,TSU
9,204.2294387382652,198.14140407823518,RUS
10,133.62473570610538,132.87992137306952,RUS
11,132.95574160934262,125.09325393517234,RUS
12,177.40219268416965,177.68261586141233,TSU
13,272.46116540100127,271.4909746380315,RUS
14,295.12530966798613,292.9096781708558,RUS
15,154.6455888074056,147.99271101383334,RUS
16,206.713194113811,197.00879962288988,RUS
17,178.32619812732003,172.60960458698088,RUS
18,272.0968492174131,273.1863257575758,TSU
19,293.1677984000018,297.6169082823023,TSU
20,308.7023568444091,312.50870486457177,TSU
21,316.82315457423033,320.837704478647,TSU
22,323.74725092932334,326.2018317844862,TSU
23,326.14773164157606,335.0013496497751,TSU
24,323.9009328294844,340.7134751785146,TSU
