Minisector,GAS,STR,Fastest
0,303.11299835804795,298.6535217259979,GAS
1,232.576284641077,237.94665663014717,STR
2,190.42502193273654,189.60211894707658,GAS
3,267.85621731850784,262.2760156616412,GAS
4,218.0860125684642,219.87455054637962,STR
5,109.88905612925085,110.75712230542071,STR
6,168.20407256268382,177.42722325354887,STR
7,256.4797158602552,258.2476527199525,STR
8,284.5141278645143,284.26635357824847,GAS
9,298.99738621614904,296.68116697600004,GAS
10,301.841833344,299.18038186666666,GAS
11,221.07818998531718,225.82056943333333,STR
12,148.06684057876424,147.21612424195655,GAS
13,257.2006406085903,255.76993049509244,GAS
14,289.4764134023999,287.3339748102564,GAS
15,296.91674339191843,291.19928587200945,GAS
16,287.7868335786667,278.95178347641536,GAS
17,242.24912864436692,238.72974072005078,GAS
18,167.63269704269115,176.81794651241867,STR
19,178.38517560046458,175.90150598383144,GAS
20,178.255485263938,176.60783455994755,GAS
21,239.65016702065628,236.73575136344084,GAS
22,121.24245080580006,119.49746413346446,GAS
23,195.42997964444444,200.79150599737488,STR
24,281.1288804783914,279.4613789128205,GAS
25,297.4750016,,GAS
