Minisector,HAM,NOR,Fastest
0,276.7874121821167,274.91598373243573,HAM
1,293.6143308901935,294.9716666168889,NOR
2,288.2825223671014,290.76472569680635,NOR
3,190.66045455628816,178.9191936856812,HAM
4,129.18489883835983,122.57816341520731,HAM
5,238.48184603253685,239.36910918479836,NOR
6,284.6258660114214,279.8013791052242,HAM
7,293.68266666666665,285.3815707897436,HAM
8,183.6911530533063,176.8858125109867,HAM
9,150.62028479093996,139.64993725079464,HAM
10,253.41378073732844,251.36048236432265,HAM
11,289.3744283153148,286.4784623736003,HAM
12,303.07968033649655,293.1203334115555,HAM
13,282.41316672,287.00833322666665,NOR
14,299.8137859474285,301.96353560375525,NOR
15,302.4310515873016,302.7578127047619,NOR
16,265.49605896830496,249.30528251806774,HAM
17,232.44261834622353,229.53074286660487,HAM
18,283.8303337386667,283.26669817084695,HAM
19,308.1063323076823,301.32533316266665,HAM
20,310.0295072562913,299.30866355586755,HAM
21,237.7339868677994,227.1569685168521,HAM
22,262.6525512272109,254.5554025694347,HAM
23,140.25271758231466,131.43976818579458,HAM
24,214.85451497095292,219.6913466784501,NOR
