Minisector,NOR,TSU,Fastest
0,274.4910276063492,275.7223897229659,TSU
1,294.77466958444506,295.268333312,TSU
2,290.74183325866665,291.81243750621115,TSU
3,187.24597082143208,180.50117688761904,NOR
4,116.46859981529934,118.49624290303089,TSU
5,236.33888330603816,235.3033756078241,NOR
6,280.82126390165325,279.26242082257977,NOR
7,291.3691522778594,290.26162214579716,NOR
8,178.59179489780294,185.89406502406197,TSU
9,135.98546489620603,140.16457551811666,TSU
10,248.63499606567473,247.06866782652125,NOR
11,285.7297694479168,287.2088146120387,TSU
12,297.5765556398268,295.29742869942856,NOR
13,279.56002635152606,276.997500032,NOR
14,293.51311912228573,292.3166169073412,NOR
15,290.8768128857515,296.90685733180953,TSU
16,243.07177386666666,256.9317055158522,TSU
17,222.94086796493286,220.3393083811104,NOR
18,276.171191964921,272.3768737241623,NOR
19,295.90356755875257,294.26560655414585,NOR
20,294.70524460485495,295.6610647279012,TSU
21,227.37382175834648,236.4964632143716,TSU
22,253.87126664247646,253.03707894412432,NOR
23,136.9243204977607,142.3832681469804,TSU
24,210.04080580988557,206.36657681423355,NOR
25,256.2875008,255.86666666666665,NOR
