Minisector,ALB,HAM,Fastest
0,258.1740246414492,257.1647344252217,ALB
1,133.9320509912945,133.99826054849447,HAM
2,268.00521750747447,265.8352521673143,ALB
3,309.5171683911022,308.4613393035944,ALB
4,307.6606497477249,307.9417235022222,HAM
5,317.5631727180311,316.90847477008253,ALB
6,322.77253255286195,322.4539055768167,ALB
7,321.0430673467565,323.4064595557764,HAM
8,192.5031006257981,217.26533755123418,HAM
9,204.95038151775108,197.64205010134873,ALB
10,182.81075290662318,193.41550514689249,HAM
11,171.90235316481758,167.0426258008956,ALB
12,259.9414830749008,253.5705147797472,ALB
13,279.0612388022105,281.9207074955102,HAM
14,281.4984538573395,286.1399888482078,HAM
15,262.71446728296297,285.88144110340556,HAM
16,170.78606235260548,171.52741120257045,HAM
17,198.00793886250162,195.09185282229964,ALB
18,245.14165355619048,241.71185721603467,ALB
19,292.1990790709024,290.1705454938957,ALB
20,311.6100183970603,310.1246874907141,ALB
21,317.547350781893,316.4650000178882,ALB
22,314.6101985206857,314.6391412711619,HAM
23,249.80386227301588,291.6957086822313,HAM
24,123.11319886005563,115.17694828052956,ALB
25,,228.2101558,HAM
