Minisector,HAM,SAI,Fastest
0,232.04186661245154,232.34062553319205,SAI
1,281.2855932110255,281.3192551619048,SAI
2,295.38624056074474,293.8250407772107,HAM
3,302.50407716130707,298.65615485231405,HAM
4,277.8005062885794,265.86201694677794,HAM
5,174.54457065078898,166.68272311122382,HAM
6,262.62678239461695,262.1277989870886,HAM
7,278.41908932931705,280.0459692753623,SAI
8,224.78829994395673,213.43043737163381,HAM
9,221.67810273908657,223.2445281115468,SAI
10,193.71973441112002,180.62577344404164,HAM
11,228.27944053674523,226.72157910882714,HAM
12,213.4175949349278,208.158361572386,HAM
13,223.369713972983,212.8086653446598,HAM
14,224.64014771213706,224.71707308555287,SAI
15,187.42328840589832,176.16489727106023,HAM
16,247.64884646891662,248.88410585716196,SAI
17,284.8424519907042,283.90280302272856,HAM
18,296.34466210443435,295.9435679909818,HAM
19,287.08811714326015,282.6677647774686,HAM
20,137.79162501304373,127.55409466761188,HAM
21,168.6495385750066,156.32114368328698,HAM
22,153.06353750405137,158.59993741781454,SAI
23,210.28789848640062,198.08338902688945,HAM
24,150.6893287676846,145.74720222442733,HAM
25,185.6,,HAM
