Minisector,HAM,LAW,Fastest
0,304.4949756468966,295.7699415047873,HAM
1,149.15543918851907,148.0673919912557,HAM
2,211.2897926916402,217.7247937337098,LAW
3,288.34985238588234,289.57169196856637,LAW
4,314.44044722779444,314.17998846003655,HAM
5,316.34874986666665,312.22291192242426,HAM
6,175.38556544921812,158.60159461291204,HAM
7,121.25977204136524,130.70052739320477,LAW
8,254.26862438184872,255.196352154976,LAW
9,296.1442578554622,296.18546870349377,LAW
10,295.45937324733706,295.63348187759954,LAW
11,140.3773908230318,128.92522676567697,HAM
12,181.16343548102503,183.77923266106677,LAW
13,245.33408490496544,251.04718880704928,LAW
14,190.91385123328172,175.71904692195605,HAM
15,190.11106731604394,201.86934208809404,LAW
16,194.75317607665016,189.63088012072723,HAM
17,233.27748691301588,234.382738369161,LAW
18,278.5853472787301,280.3336549707603,LAW
19,294.38911812879496,294.55310452287586,LAW
20,241.37147694391535,233.14515343399714,HAM
21,194.16515406202686,190.7546339394455,HAM
22,178.52444833232363,188.63824143064616,LAW
23,265.6853615336472,270.76139927218736,LAW
24,303.83411465333336,300.4747397,HAM
