Minisector,LEC,BEA,Fastest
0,308.7388528035277,306.0808475343915,LEC
1,198.05772668281205,193.15481798389226,LEC
2,220.9104981228369,212.69766838213758,LEC
3,270.82514922574313,265.60670365645024,LEC
4,227.71413292320324,217.38443961104375,LEC
5,126.82289989923355,126.12693343088645,LEC
6,205.48594166320987,207.2444601946439,BEA
7,244.51526732674702,246.27445402801345,BEA
8,236.4872343658197,236.5698893291005,BEA
9,238.63525955572106,228.85567429300207,LEC
10,285.30293814688423,285.30931808963624,BEA
11,308.52179876648864,310.9299117782456,BEA
12,319.36382260035276,323.7988540773333,BEA
13,316.671898688,322.0412034650604,BEA
14,304.90154987570503,311.54647165720365,BEA
15,249.22613424899902,242.2112625452036,LEC
16,232.7695461183516,230.9071899333779,LEC
17,272.35189624069113,272.73071044877656,BEA
18,279.0130622811429,279.73589624914285,BEA
19,156.71489010830152,151.8868271005436,LEC
20,196.74229901157676,193.07801548562358,LEC
21,169.15873733326646,168.3493547201977,LEC
22,136.61983639653735,128.0083072430577,LEC
23,228.87619030881157,241.45138208376005,BEA
24,291.551631863107,291.4655944370205,LEC
25,304.87000064,,LEC
