Minisector,HAM,BOT,Fastest
0,278.6541819118197,278.4121412873231,HAM
1,239.45527925164524,232.1457918046056,HAM
2,118.27537266975311,114.01567091922452,HAM
3,191.75695266607244,193.78989404165344,BOT
4,183.44220516208827,176.0384148615212,HAM
5,220.36927461160704,217.64054244174477,HAM
6,277.813123514797,277.20556493058587,HAM
7,295.1005029265336,295.6850956546151,BOT
8,189.2372428151181,184.65186306740569,HAM
9,134.7144379248158,131.16820335131516,HAM
10,136.340087488696,134.9777984265422,HAM
11,191.84618319831043,192.70353048318466,BOT
12,224.73716972853362,222.43067645117677,HAM
13,135.11865839346348,133.70168712334436,HAM
14,157.87492082340663,152.44720077166792,HAM
15,121.6867084387457,125.62517111279172,BOT
16,256.0004622518751,255.38092505529593,HAM
17,144.22548236355888,143.96192191963772,HAM
18,200.8539008689968,201.15306659199345,BOT
19,140.69678152212484,132.27898118519948,HAM
20,155.20297986379876,147.80019098619923,HAM
21,130.67184078915665,128.22674653222768,HAM
22,146.44040085056997,147.83520303766159,BOT
23,222.0211279889915,220.7196287317745,HAM
24,236.88639619340327,232.86506852727894,HAM
