Minisector,GAS,GIO,Fastest
0,291.2733530997486,302.4458932268534,GIO
1,291.3687514,306.56209622552376,GIO
2,155.43733067254672,155.0846093123928,GAS
3,228.98408373116027,224.81643080723114,GAS
4,282.6272381632078,283.333266659536,GIO
5,306.3476893318778,308.1166328952177,GIO
6,316.3771175069232,321.33312414175754,GIO
7,150.9514983294318,144.28620336624604,GAS
8,141.5570495838964,141.02156535183815,GAS
9,251.35309012212633,254.95491966090842,GIO
10,282.1341968239217,294.6792687259445,GIO
11,288.0756609821342,304.88792677816707,GIO
12,141.77606585630244,137.4348684781529,GAS
13,200.8574843074707,197.43631346913557,GAS
14,251.3040265805832,258.63218200380516,GIO
15,199.52186129843622,188.3473896828065,GAS
16,223.314398146909,219.5677350885497,GAS
17,215.08047242801712,204.1909509231206,GAS
18,248.0913882596297,241.7826553662406,GAS
19,276.8324254963461,274.7927621830148,GAS
20,292.7210565428571,290.9858327537296,GAS
21,253.69559822756295,257.4831045377988,GIO
22,219.2133542359553,220.29414585300114,GIO
23,210.83840404170041,206.16996365460196,GAS
24,265.71658360088713,268.3907292933333,GIO
25,,290.51041599999996,GIO
