Minisector,HAM,PIA,Fastest
0,252.42858247576717,254.9619102590476,PIA
1,217.25157350054934,213.2678101787586,HAM
2,212.23309517774064,206.73515872122604,HAM
3,261.08416411048296,258.53094671634796,HAM
4,275.7139770888312,274.8113347731997,HAM
5,293.7094388716553,288.1088293728395,HAM
6,151.71400781185832,160.08668733699048,PIA
7,184.20616730048678,181.5114806498819,HAM
8,269.1179524549184,269.82660148040407,PIA
9,299.6913661563581,298.3630834567399,HAM
10,310.90522175657327,309.12340460948303,HAM
11,307.9747932635746,305.9917402369161,HAM
12,105.72915595617403,109.94173232423182,PIA
13,195.3665001877211,195.58748574459528,PIA
14,272.59449286852293,269.9164020885526,HAM
15,296.6069083555599,295.81258333333335,HAM
16,300.0354823774892,294.0525698955267,HAM
17,188.72672719504195,186.31659896258063,HAM
18,225.6146405185185,222.40217010285713,HAM
19,272.27250077605476,271.1177847552795,HAM
20,146.72802352756494,150.87947517259815,PIA
21,148.14220210108527,145.507873494966,HAM
22,235.27973678470863,225.63562218114825,HAM
23,236.7992801025641,230.6441106368229,HAM
24,162.07515401319512,157.73401722736702,HAM
