Minisector,RIC,GIO,Fastest
0,291.00545153576536,293.7596588121212,GIO
1,300.4199544743764,305.91636737288115,GIO
2,305.6767838889357,311.38201784475405,GIO
3,300.3203323584606,310.52604181333334,GIO
4,203.4639485998577,192.79973469250382,RIC
5,224.0883009622081,219.63951834013605,RIC
6,268.14756669482404,269.1495963526745,GIO
7,275.32123808431385,269.712014178355,RIC
8,197.63206008553462,192.40791556759913,RIC
9,160.81485625416667,158.18176385425204,RIC
10,190.1335238854261,185.54335093485886,RIC
11,259.97758765714286,260.5014487188406,GIO
12,253.95866743466667,254.5205506059636,GIO
13,236.35104715721954,226.89644969876542,RIC
14,268.0141265289926,274.2139677752828,GIO
15,182.335993627564,172.527227539358,RIC
16,224.94910605500283,218.8671944797312,RIC
17,249.5459237109975,251.75720246455225,GIO
18,141.1530990251596,135.56647424494983,RIC
19,241.2795379873016,239.48499936274538,RIC
20,279.39002565656784,278.8265870730159,RIC
21,260.25913638968785,269.62284298450874,GIO
22,150.63375598536115,144.2129915591265,RIC
23,215.20977277230028,204.28741313581742,RIC
24,271.12190864593987,269.9590547664353,RIC
25,284.3357129142857,285.52499911111113,GIO
