Minisector,RIC,HUL,Fastest
0,274.0464236574194,273.87212813383303,RIC
1,243.91931966795778,225.82162110111838,RIC
2,122.37714873423249,114.47120554132967,RIC
3,191.23985575251052,188.41419019540933,RIC
4,187.87697442162946,177.17815528088366,RIC
5,215.5578167423339,220.01494748613894,HUL
6,274.50179817619903,274.25067078154973,RIC
7,293.35044523544474,289.8807213236594,RIC
8,190.0471260808268,175.53184882003205,RIC
9,137.4818302249673,129.77922728305055,RIC
10,133.5099059965202,134.8465312495744,HUL
11,189.51777129925512,190.55879926225688,HUL
12,232.52524736296263,214.54877993504678,RIC
13,138.45336707847963,132.11905641550356,RIC
14,160.7561178766243,148.6666168567787,RIC
15,122.05501712399222,124.02737070258267,HUL
16,253.35842856238222,253.17375771067245,RIC
17,150.41294935468858,138.73171859678163,RIC
18,198.95444096745396,201.4932971738665,HUL
19,140.747004734761,131.81038010366424,RIC
20,157.8135436885444,146.16924874243145,RIC
21,124.86569493737623,128.04607504079425,HUL
22,143.5006888419208,144.00299212647218,HUL
23,223.25346726394372,213.12355830173854,RIC
24,223.1949009192111,232.9759216376999,HUL
25,257.9353249545313,,RIC
