Minisector,GAS,VET,Fastest
0,145.02994233711902,175.53353112380952,VET
1,137.11697255915055,232.51106626673118,VET
2,164.95714170666668,271.6936345111853,VET
3,111.13767180529986,292.95909032727275,VET
4,145.24422753126294,309.4909086545454,VET
5,183.40372425535085,314.67466543292875,VET
6,163.56446595996522,203.47138067756845,VET
7,137.44905786644466,139.31961742222222,VET
8,145.95652173913044,216.81460262782056,VET
9,143.67401619470985,267.75679354920635,VET
10,145.24419888228255,289.17198803298265,VET
11,166.52820691573115,302.98680506666665,VET
12,135.6091978226868,311.69708309333333,VET
13,172.73333333333335,317.0645762570396,VET
14,178.17383926164624,289.05105315555556,VET
15,176.28824829578915,100.54969798744592,GAS
16,135.02562837867518,117.20314009291951,GAS
17,90.65972677953089,216.42237898158731,VET
18,106.67994182703121,266.67351055238095,VET
19,117.67174597536301,295.49469604848485,VET
20,127.77729211710758,307.90645100850946,VET
21,171.02399509974938,314.30027795684987,VET
22,144.5955685510921,207.13125475555555,VET
23,135.86066500266668,101.3135174666367,GAS
24,178.84780625964913,186.60391924705883,VET
25,183.9749984,241.4808320711111,VET
26,,261.92603106643355,VET
27,,194.73076088619598,VET
28,,163.23571362539684,VET
29,,220.05972017777776,VET
30,,210.80185748641753,VET
31,,195.91200916078432,VET
32,,237.20910684596927,VET
33,,263.0307684923077,VET
34,,280.0235158837074,VET
35,,288.9093611774892,VET
36,,291.00176418461535,VET
37,,228.0238911288889,VET
38,,213.03666560000002,VET
