Minisector,LEC,TSU,Fastest
0,287.7681305365392,291.93988909259815,TSU
1,296.0047567758576,301.8946348552109,TSU
2,282.7282965069217,276.6122860846377,LEC
3,104.70541656361192,106.18549436904776,TSU
4,226.39331031746534,216.52351642574357,LEC
5,267.192385481697,278.6980632275737,TSU
6,203.336980911558,203.2232373469308,LEC
7,159.38871406422723,153.52280864664223,LEC
8,214.47701113799792,203.9958087036206,LEC
9,226.79883998524375,213.6900555986009,LEC
10,109.47112898742688,110.46758123707546,TSU
11,225.31758465395353,223.46104788212372,LEC
12,121.66496970862585,111.98439970806564,LEC
13,220.80079951798285,223.33075963982685,TSU
14,272.3441130305787,286.48258396998557,TSU
15,209.4542572074523,201.12448189675806,LEC
16,196.18152789322315,190.21296533669468,LEC
17,252.32489399700248,244.58223450471468,LEC
18,210.47534707482433,188.92512062095238,LEC
19,180.18093529891,173.67782726196774,LEC
20,259.7247277465728,263.6283588688889,TSU
21,282.95416726417443,288.6984946943432,TSU
22,173.17454969268357,162.44808106056342,LEC
23,212.01841094353094,213.43050192117477,TSU
24,268.9467649546325,275.930233861241,TSU
