Minisector,SAI,GAS,Fastest
0,304.81765782588235,296.74566619887634,SAI
1,252.05483067029476,241.05564304203173,SAI
2,126.33874823819919,130.7375709454579,GAS
3,239.22700824130965,244.71145540225908,GAS
4,187.7102633707719,191.0077345887125,GAS
5,248.54746901351473,241.7784168491413,SAI
6,231.2153717757647,226.63927732684442,SAI
7,254.08393377645712,248.19756969086419,SAI
8,289.88341328761766,282.79098233318683,SAI
9,207.75549681962482,211.84661871891157,GAS
10,198.68408864420346,200.52600655293654,GAS
11,270.7999320480149,268.9689289667448,SAI
12,209.51958495142858,212.52927650152313,GAS
13,246.80769101418002,246.92990722455937,GAS
14,288.67997888487616,288.0151850958684,SAI
15,305.48579844697264,302.1270186335404,SAI
16,306.28371195151516,298.58101280148145,SAI
17,205.85423580372196,210.96156169852893,GAS
18,259.92816744671205,258.7993461347021,SAI
19,293.40875616253544,292.506813124169,SAI
20,307.6660323090909,304.06297859469674,SAI
21,309.6445912604003,300.9863612621118,SAI
22,149.98124104055512,151.73798226808483,GAS
23,228.8701161611296,225.70163618850245,SAI
24,286.6228032163634,283.6941324622222,SAI
25,299.0,295.55833386666666,SAI
