Minisector,VER,SAI,Fastest
0,263.4623161025641,263.1427872,VER
1,242.463494919224,248.65540424691358,SAI
2,165.87376975326393,169.20486998696742,SAI
3,247.07869841558048,247.3744434093827,SAI
4,271.99168525071246,273.34916612266665,SAI
5,189.69254587851788,198.17621330935253,SAI
6,123.17801765773167,125.3044646463003,SAI
7,158.44067043857814,159.3104503301927,SAI
8,257.7945480044403,256.34986779674364,VER
9,180.45584116138997,190.050252352272,SAI
10,186.1696618186334,181.5479179968688,VER
11,256.57983045860806,252.76518546229858,VER
12,238.63762371160496,244.12669415384613,SAI
13,259.55549952,260.83254562439544,SAI
14,284.0659742726174,282.80935151839805,VER
15,282.9485525333333,293.49275501449273,SAI
16,150.31494052479346,152.83498736161837,SAI
17,236.14466355132276,233.54075450007912,VER
18,283.0586905419309,281.7252738060167,VER
19,295.788945538322,296.04642834285715,SAI
20,300.23246734545455,300.05188810037515,VER
21,306.1749349302371,305.2087866993197,VER
22,151.16695354112554,173.3326315222063,SAI
23,92.12561365321548,92.90886415335491,SAI
24,180.88157831534392,166.4134262050686,VER
25,247.12500053333332,241.09166613333332,VER
