Minisector,ALO,RUS,Fastest
0,253.5076335395918,258.592259699976,RUS
1,121.72490130407127,126.99209520226549,RUS
2,257.3421286236125,258.78707854008906,RUS
3,303.60898271067845,304.5576116391096,RUS
4,302.61839894456654,308.0780403492675,RUS
5,307.44791659259255,317.16328570148573,RUS
6,310.02517529757665,324.42058970812894,RUS
7,309.0062265965958,326.03683486188265,RUS
8,185.84617186997752,189.2880746099453,RUS
9,188.76778406120823,190.82044574648666,RUS
10,172.0624140104735,183.7097684632344,RUS
11,172.01270779223077,168.1323128628518,ALO
12,255.08292896355553,246.871066020702,ALO
13,273.7235950813689,261.6409522279745,ALO
14,277.37380228295234,271.4025777561097,ALO
15,268.7237548523174,270.2312002760427,RUS
16,180.24929835397188,175.87634831209664,ALO
17,183.4153414374603,182.53796784303523,ALO
18,234.2436658935238,225.41690519503697,ALO
19,285.4143850542945,279.72135139121417,ALO
20,307.52298270650857,305.41640773079365,ALO
21,314.5715469818093,314.4179887144577,ALO
22,313.07003716285715,313.7851147493878,RUS
23,247.98645416654162,256.33217983729355,RUS
24,103.35168891393054,110.1608821386037,RUS
25,223.05249472,223.42500195555556,RUS
