Minisector,ALB,HUL,Fastest
0,251.64184773118714,258.90984842256256,HUL
1,281.04874976,295.01342259809525,HUL
2,170.65871551190784,162.80986946831015,ALB
3,169.01328753909024,171.18014782745098,HUL
4,259.37009342466865,262.40258865094154,HUL
5,271.02642048484853,269.4375001212121,ALB
6,221.31280880987654,218.90134965423482,ALB
7,206.47068453333333,193.506921944086,ALB
8,159.710421171451,150.61500901070752,ALB
9,223.33076885567763,220.62326559783313,ALB
10,271.72925449555663,277.7781464671202,HUL
11,125.74000136535184,122.7869642101612,ALB
12,219.99223967266315,226.36958511040197,HUL
13,273.93698688765613,284.73254003809524,HUL
14,291.849574770068,312.27347933121695,HUL
15,293.15500000000003,319.8396930245614,HUL
16,222.64221794426808,231.1477549948718,HUL
17,137.02163782059066,135.8785082882687,ALB
18,141.63583151716816,139.69192459302903,ALB
19,124.44586404265984,124.71846423884843,HUL
20,230.8581732923077,227.25172280888887,ALB
21,258.6223086641822,252.9006418672226,ALB
22,230.81385096202584,233.38216792130262,HUL
23,215.59027299837126,215.21083754955296,ALB
24,147.88361253578114,142.44624151680455,ALB
25,,223.8,HUL
