Minisector,OCO,NOR,Fastest
0,278.34002788142146,294.85579257824566,NOR
1,289.17610892751884,310.88268996208126,NOR
2,294.69793201777776,317.12822205155555,NOR
3,293.35934274091505,301.7560428152381,NOR
4,159.9448364334226,159.0908630941436,OCO
5,200.5717172591078,198.51447352156373,OCO
6,220.015049624315,212.9500325185185,OCO
7,259.55976449046057,256.8361716709849,OCO
8,240.96001689606055,243.04690050521037,NOR
9,151.38269950981464,150.52000475515646,OCO
10,221.06689659887365,215.05214071430873,OCO
11,129.3890410224903,124.89658212776537,OCO
12,227.74535131826087,229.50036522975338,NOR
13,166.30582364641162,165.5139451763593,OCO
14,210.8448468379443,213.10050975823114,NOR
15,223.3910346433864,217.37730681565358,OCO
16,248.80001738558795,251.22229221044736,NOR
17,277.7665700610128,278.07139905142856,NOR
18,143.2573576312273,144.38493802367313,NOR
19,158.84359373027502,166.77527570689483,NOR
20,137.742022621318,138.91543716222543,NOR
21,150.00186417219766,146.33254322158052,OCO
22,108.14127741516228,106.03486786646683,OCO
23,213.3319819590008,219.62391504180084,NOR
24,259.50060960092264,259.512204754623,NOR
25,,273.27857097142856,NOR
