Minisector,BOT,HAM,Fastest
0,288.13192754157564,297.0517049212121,HAM
1,304.07687498666667,321.8294579307463,HAM
2,299.73269465874426,316.12229106285713,HAM
3,191.88316115669244,191.10547381464448,BOT
4,229.63937714871795,229.0230543648352,BOT
5,214.97499328779276,217.80580552494845,HAM
6,199.2441629984639,204.53526908254895,HAM
7,224.23439076751444,220.65184345989772,BOT
8,257.8135166984127,258.6018336609524,HAM
9,261.7654235986127,264.33685604489574,HAM
10,183.11416100707632,182.29815638715493,BOT
11,244.89167801555072,244.1397233446129,BOT
12,123.11551981601697,126.99151955896353,HAM
13,230.83262873191913,232.24578077851038,HAM
14,271.0852182663038,274.8036536571644,HAM
15,278.9130435060869,284.95802269813663,HAM
16,216.15018019074668,214.26938991379402,BOT
17,200.37307044632618,194.0275018969407,BOT
18,273.4976095688989,271.7413524009319,BOT
19,294.8672889004329,295.4202001277979,HAM
20,304.69949403428575,307.65875008,HAM
21,304.01270837333334,308.48583326476194,HAM
22,251.63309525942856,256.62566536533336,HAM
23,122.74989307123809,123.75054960036468,HAM
24,248.83412266201094,249.42978502647918,HAM
25,275.90000274285717,,BOT
