Minisector,BOT,KVY,Fastest
0,287.5965277037037,288.839215372549,KVY
1,297.522678163293,299.2762644651898,KVY
2,302.1236978857143,302.63776033333335,KVY
3,304.2259799215686,301.9980387764706,BOT
4,188.348459563801,173.54124100426736,BOT
5,222.7931816727273,219.57961568630037,BOT
6,249.5585119743632,244.42084891885887,BOT
7,269.886873118797,268.1064813037037,BOT
8,271.06157347724866,264.21585217443607,BOT
9,173.4313002457071,167.10417993638237,BOT
10,234.37023779740258,231.87986979740262,BOT
11,141.95539720050965,134.71537977419524,BOT
12,225.3175573740812,218.49105516679364,BOT
13,207.1050841777778,196.78814231794874,BOT
14,217.34894549191318,215.89855026086957,BOT
15,252.83145845333334,249.09604154666667,BOT
16,262.9401630877193,261.4983476320841,BOT
17,284.845325032791,284.8212213304997,BOT
18,143.04796425368022,138.22453626736115,BOT
19,162.3709868531142,159.7531484903226,BOT
20,150.50709508325653,145.01021864601051,BOT
21,172.11760743225807,170.1306592269697,BOT
22,124.22515029527554,117.1297177447619,BOT
23,227.00275004081635,224.57599054955426,BOT
24,268.2258776140351,267.97214933333333,BOT
25,281.26666666666665,281.5571428571428,KVY
