Minisector,ALO,MAG,Fastest
0,295.1608776186855,314.5837963407407,MAG
1,205.57159297715967,201.51222668031383,ALO
2,231.70621436695538,226.03264640266832,ALO
3,275.6912539758764,282.5409007554411,MAG
4,243.1329892340765,254.00040584415584,MAG
5,126.65536895300485,123.96935417714572,ALO
6,213.39210877434218,209.8768878607365,ALO
7,261.6223917464965,263.26937499999997,MAG
8,250.91181712563147,250.4709390109091,ALO
9,241.990947733258,234.43817319127095,ALO
10,276.4201978074805,278.82223848760447,MAG
11,291.24505075641343,301.3362239419501,MAG
12,299.61241124631186,319.22008145363407,MAG
13,303.0483135153439,329.5025306948023,MAG
14,302.9041351111111,335.025481024127,MAG
15,254.42279926153847,259.798123500473,MAG
16,247.83372935542064,238.53649079115948,ALO
17,280.9189931786391,283.41107142857146,MAG
18,291.389005534446,302.09118062789696,MAG
19,169.8178786918326,156.35097454282587,ALO
20,214.58575013200792,205.4357359506774,ALO
21,193.47454875374947,176.60376551714108,ALO
22,143.00049449116236,134.8037063743306,ALO
23,241.75787555787585,241.91324790949406,MAG
24,283.19335609904766,283.66480200368994,MAG
25,,295.5312496,MAG
