Minisector,MAG,PIA,Fastest
0,276.88447689981996,275.97321160620726,MAG
1,303.5005251485002,304.12584496975654,PIA
2,317.6035925688889,316.1956169974026,MAG
3,323.76922613333335,323.35808546031745,MAG
4,327.9306349298492,325.9721702912045,MAG
5,330.0035417866667,326.8091606855011,MAG
6,195.08007950812856,216.00754513157494,PIA
7,106.74103330123509,108.93695096437114,PIA
8,188.73090873208355,188.63564528496238,MAG
9,267.1723127932773,265.30511536931215,MAG
10,292.76265834714076,291.6527240987655,MAG
11,164.6131274806803,165.00026767918052,PIA
12,94.24891602728104,97.84350765814139,PIA
13,119.63596758806675,117.11195872262587,MAG
14,224.2718879055238,222.20310441823764,MAG
15,196.27679248539025,200.77902839373968,PIA
16,231.74703587784128,231.18812803053757,MAG
17,187.3062147067998,188.67304695294158,PIA
18,242.12564591255466,242.37150527830968,PIA
19,279.73285557530863,278.4656189340803,MAG
20,245.90767884793433,240.90698978259104,MAG
21,147.87412683527685,147.58075473159215,MAG
22,97.49530588423931,98.88902253670356,PIA
23,123.60255323862114,125.83872110834145,PIA
24,228.4490354387095,228.08639360047076,MAG
