Minisector,SAI,HAM,Fastest
0,292.4854681406555,299.1199349989326,HAM
1,156.07865934371915,157.76794806908887,HAM
2,179.25462526715899,168.5277662607423,SAI
3,257.1591242584049,254.80479386196592,SAI
4,287.0842277052632,291.36668866680986,HAM
5,252.29723166548152,254.77010897015873,HAM
6,226.7543797019798,223.5875817027417,SAI
7,149.9991048859801,147.48410419255208,SAI
8,220.18668058656277,227.87134498489553,HAM
9,279.46787688178756,281.85694824704035,HAM
10,297.7864659841604,303.1314769108805,HAM
11,307.3096404301365,318.9677409669747,HAM
12,312.4179839759398,328.8074767820285,HAM
13,313.09561460932326,326.76756882430317,HAM
14,127.40850321933986,122.8163479659765,SAI
15,118.06449772357384,113.09008829228343,SAI
16,103.74511418235988,100.82547401935231,SAI
17,233.3310006137566,238.03510113431875,HAM
18,287.79497230829105,287.8268052839506,HAM
19,307.34609014320864,313.4958993502118,HAM
20,318.03751912891323,330.36419301928925,HAM
21,322.20540366666665,333.85213132363634,HAM
22,122.05766529574795,126.66610698183891,HAM
23,202.30835322567742,198.77837514422453,SAI
24,270.436630849895,270.10999092571427,SAI
25,,290.01428480000004,HAM
