Minisector,VET,RAI,Fastest
0,301.93532477069596,304.43370949849134,RAI
1,162.64772926635428,156.68596143887063,VET
2,152.69626717777777,147.84038827716276,VET
3,223.70754980324452,223.18198905717588,VET
4,285.89562817289374,295.2748015873016,RAI
5,291.1156010501841,297.4453084134911,RAI
6,146.27400684063068,141.21908343466666,VET
7,141.7746078517862,137.8726892220355,VET
8,149.94258210736479,145.329416832,VET
9,177.30859118771536,176.65638268916084,VET
10,133.64564573620208,130.44039503317853,VET
11,126.9642085876666,126.46092707772883,VET
12,165.31977112530856,159.3830732369044,VET
13,266.9412556952381,267.6639166976297,RAI
14,286.4380663137562,295.0472075172517,RAI
15,152.31067237403533,150.94911209899865,VET
16,212.21113216305054,212.35261193004834,RAI
17,169.0566552004066,161.03783954713356,VET
18,271.08037342020714,270.02542225181423,VET
19,295.47608369814253,296.77599991466667,RAI
20,309.2220426722174,310.2694652172537,RAI
21,317.10208329696974,320.05013557864294,RAI
22,319.8366718873706,325.78968253968253,RAI
23,321.82265924718325,335.94575129408906,RAI
24,319.7486855047619,340.7193182060606,RAI
25,,342.32499946666667,RAI
