Minisector,ALO,LEC,Fastest
0,283.98519198154884,291.6894671067105,LEC
1,295.4755280166233,303.0333137833873,LEC
2,299.5453636213103,308.2472222222222,LEC
3,299.8506365464346,305.75578277258484,LEC
4,182.3311026085714,166.48607512645626,ALO
5,211.6905955367954,208.13990132949039,ALO
6,239.2387182165632,228.46029079735126,ALO
7,263.94399276110136,263.08073151829836,ALO
8,271.70807178601495,258.82134698886193,ALO
9,162.53798879929914,157.02111766038527,ALO
10,229.2490772217357,228.66894282661693,ALO
11,139.6505798466274,138.45778759411448,ALO
12,220.6820555657749,230.2770360459295,LEC
13,203.94119533114127,188.55602912472276,ALO
14,209.85427500162908,216.92926662452047,LEC
15,251.0111672630213,236.67092987275325,ALO
16,258.9674766213662,257.3435938961689,ALO
17,279.64310019664265,284.2165455735012,LEC
18,153.82565952000974,131.7822392709346,ALO
19,156.9061102668073,163.6796961461882,LEC
20,141.9422516909278,145.88760603988902,LEC
21,167.02753567111114,157.63154994927567,ALO
22,120.8679041397608,118.24369381911539,ALO
23,218.60146414079736,229.16302810672696,LEC
24,265.6610578383127,270.9176256535176,LEC
