Minisector,LEC,NOR,Fastest
0,253.53401689014925,248.92023658495242,LEC
1,127.56927779478372,134.1623697573466,NOR
2,275.9934024135233,286.4486869379573,NOR
3,314.95554582995413,321.13794307838185,NOR
4,298.62910882047294,302.53238013528414,NOR
5,326.63980670694366,322.06209540723495,LEC
6,339.2240548362659,323.6417029189418,LEC
7,326.59928145454546,318.4583332592593,LEC
8,204.8165964161506,187.26449214689578,LEC
9,186.97119898716684,199.1170110225288,NOR
10,181.05544247349405,168.74439386634347,LEC
11,164.17399904666064,177.30244072938984,NOR
12,246.47986904956446,253.4715899877743,NOR
13,264.1734807814331,265.70714056356627,NOR
14,256.86895167311826,262.32036893020455,NOR
15,249.58626299681856,238.59246397033183,LEC
16,178.78534113676656,169.455301022346,LEC
17,190.8314814706455,189.74467774889146,LEC
18,250.41434118908154,259.20059936973985,NOR
19,297.1728487692449,307.445127818615,NOR
20,315.8025221849599,323.3857406557461,NOR
21,290.6818348761921,313.3524387694093,NOR
22,272.0069050660534,300.19920822288253,NOR
23,236.14205271802481,197.58452016265653,LEC
24,122.59054620371754,123.88568120462566,NOR
25,223.13784859944283,,LEC
