Minisector,HAM,ALB,Fastest
0,250.89174637714285,257.5192416609524,ALB
1,140.301917269394,133.94310510644115,HAM
2,265.7187508571429,268.59320690705516,ALB
3,306.02397899701856,311.958000128,ALB
4,303.89666653866664,306.7809028,ALB
5,310.5034852396393,315.2144097777778,ALB
6,314.78858508888885,319.9005539802576,ALB
7,313.9138814480082,317.2970402433862,ALB
8,212.12212197248675,204.60257356114596,HAM
9,203.5824688170887,193.94382130645684,HAM
10,194.1756720221916,185.82284133634764,HAM
11,170.68979666141087,169.341164958934,HAM
12,248.8695844977778,254.01272947841338,ALB
13,276.4332671362556,275.36146882048536,HAM
14,280.6059635942301,279.83960572014655,HAM
15,279.7125970621177,276.72097278388475,HAM
16,192.53914389478612,185.70457259816231,HAM
17,198.9563800368243,193.85766382676692,HAM
18,241.9753453171886,242.0594224243284,ALB
19,287.043927678423,290.9368394467337,ALB
20,306.05430487159106,312.3236187245714,ALB
21,314.2579709217391,317.81576097391303,ALB
22,312.1610188398608,313.88263911111113,ALB
23,261.97924918752057,243.2679046678886,HAM
24,118.83169423063886,115.93222344149451,HAM
25,230.25,,HAM
