Minisector,PER,VET,Fastest
0,261.78073496088695,271.29185804559313,VET
1,280.33420715411256,297.6771527777778,VET
2,288.02253811266274,309.40089299809523,VET
3,127.11930908571321,121.54904319896328,PER
4,193.5457855256316,195.0998189537476,VET
5,247.5224866783657,253.14132034632036,VET
6,136.7932607047104,131.09850294029272,PER
7,198.10773727502223,201.00524594909092,VET
8,256.36022638108136,256.0045856916763,PER
9,276.8494119715738,276.0338062746599,PER
10,227.87449237656568,226.42255841396826,PER
11,179.37560072613132,175.11253719521505,PER
12,186.28874105755153,191.53195214682464,VET
13,140.11568662716041,133.3908688166367,PER
14,171.27517855610924,166.7255243707427,PER
15,156.09730204629582,151.06827247777778,PER
16,213.9933366828623,213.5831024872226,PER
17,228.16139726666665,223.2404075478261,PER
18,228.43034403555555,231.1789255120988,VET
19,243.29915538644912,227.570449948436,PER
20,145.87314706407113,140.92355679377368,PER
21,138.63473105809996,133.79492439301865,PER
22,165.23114198162963,166.4982396964664,VET
23,146.3419403525541,144.80942522259102,PER
24,225.0974142143733,223.35215654647345,PER
25,248.76388622222223,,PER
