Minisector,ALO,SAI,Fastest
0,289.46766132155847,290.17154087778204,SAI
1,153.9176030374687,163.51952479718167,SAI
2,173.66972794766082,167.83602060511885,ALO
3,254.8934306973336,251.58274372482447,ALO
4,288.55187093696145,283.9078400972027,ALO
5,247.59232629629628,241.7346360307046,ALO
6,228.28341334857143,216.8979886295619,ALO
7,160.32717017522197,152.9299165401383,ALO
8,228.42307142942497,230.3718862379203,SAI
9,280.0490219270669,278.9714433981582,ALO
10,299.15158646627185,296.0662266870321,ALO
11,307.5644607843137,305.06937975071907,ALO
12,309.82282988888886,310.1667834896435,SAI
13,308.0025999975064,308.9617857142857,SAI
14,131.47350513125363,131.2147999866019,ALO
15,120.78199807310328,123.15697499207933,SAI
16,104.35846471735684,105.14553618814855,SAI
17,233.99370553812244,235.64791229686858,SAI
18,289.92284549761143,284.6389439858209,ALO
19,307.0010875755899,305.2078424468949,ALO
20,315.7688016108392,315.3114087771429,ALO
21,320.3824305422222,317.0570723789474,ALO
22,128.5607928280061,123.79205109139806,ALO
23,200.98294844980248,211.37500185016393,SAI
24,269.1581619198629,269.03997513341943,ALO
