Minisector,NOR,PIA,Fastest
0,270.92827709283836,268.82585098209523,NOR
1,287.25049071407403,287.30382239492064,PIA
2,292.6454845098136,293.78607162890756,PIA
3,127.80736396100038,131.24465315861949,PIA
4,193.0471364116511,198.08433210655625,PIA
5,253.23727930145904,255.22358610665668,PIA
6,142.48028916204737,145.2537878290476,PIA
7,209.16057859726206,211.6578684409931,PIA
8,256.40782508382875,258.2722124958025,PIA
9,277.0347338487395,274.82480236270675,NOR
10,245.11663545112782,245.79135031594134,PIA
11,183.84484303941392,185.334931336409,PIA
12,195.22843165038137,198.439878376178,PIA
13,145.36674521751337,141.00388937415917,NOR
14,179.25059218351254,178.74901341619446,NOR
15,160.7272364710787,166.6338278179069,PIA
16,220.92601296888887,222.01180117267083,PIA
17,240.60129209561833,245.17641662464766,PIA
18,244.9119567977938,249.05540953452171,PIA
19,240.32181521471327,241.57097866545732,PIA
20,145.81785573672371,149.91268037284826,PIA
21,131.8136269317624,133.97762856781847,PIA
22,169.7263437302806,171.86306587226957,PIA
23,155.0862408649178,153.8178599268661,NOR
24,233.2430161922902,234.38157637485716,PIA
