Minisector,LEC,ALB,Fastest
0,327.97901085832547,324.7023598998467,LEC
1,338.43083070548755,332.81511911788357,LEC
2,339.5117648470588,337.0171905391746,LEC
3,190.14900208716483,206.76002079932772,ALB
4,131.25603888652114,130.0832604271373,LEC
5,269.9052180841819,266.6808627302357,LEC
6,306.15876696188684,301.9853769343066,LEC
7,322.9624872330742,314.29627532121214,LEC
8,284.80366045777777,284.23335545439704,LEC
9,144.66523108151625,148.50584109221285,ALB
10,227.92561054965987,226.24955424831074,LEC
11,236.97428445634247,228.75348319148452,LEC
12,207.32047366836795,206.72895379490325,LEC
13,274.4865797814796,273.02099950450986,LEC
14,310.6556563693424,306.86671739968784,LEC
15,327.5381862327065,316.300069073325,LEC
16,285.11952428720497,277.1376053295037,LEC
17,215.18641761877552,222.17075007264367,ALB
18,282.3609682095461,281.3759880925339,LEC
19,313.97749675444413,310.94181167141346,LEC
20,329.1936599264749,323.6782406871252,LEC
21,319.4312837846465,316.69521980266666,LEC
22,213.99228364256302,220.12009641858725,ALB
23,266.81726473309095,268.51357551826084,ALB
24,308.29576429654645,306.307559115099,LEC
25,,316.26944426666665,ALB
