Minisector,STR,PER,Fastest
0,318.3669022898245,322.96656746031744,PER
1,328.32298952469404,328.7344697212121,PER
2,324.63456438787875,324.1515151515151,STR
3,199.12405117555446,204.48422367029502,PER
4,121.29095685790361,120.70112092059497,STR
5,267.1142180871739,268.51975308641977,PER
6,300.99427062222225,302.23370931381663,PER
7,315.77471538881986,312.4115942028985,STR
8,291.37593367767164,278.68605769230766,STR
9,146.19877973861597,144.68720600806432,STR
10,225.63938513744102,226.2701147195647,PER
11,219.7262724798248,213.38333333333333,STR
12,200.9000393270321,200.47690503749718,STR
13,269.2721171785724,269.7263682602647,PER
14,304.87269694409935,305.6855518898535,PER
15,316.56845664894996,315.4559782956522,STR
16,267.593362962963,266.4066214591952,STR
17,205.5177727678754,201.61690480761905,STR
18,272.60936490421125,270.7057249185723,STR
19,305.39148507826087,306.4678819111111,PER
20,319.67686137596644,316.39629013688017,STR
21,310.90572952315864,303.53229166666665,STR
22,210.42164123196903,207.9510388162879,STR
23,262.9471723809524,263.934126984127,PER
24,301.5249841498183,304.63716672,PER
