Minisector,PER,ALB,Fastest
0,251.89411714504357,245.41572188950983,PER
1,124.4118391155204,121.47028533356668,PER
2,259.7868469361743,264.99990854680135,ALB
3,303.85295083210883,306.85131371664625,ALB
4,305.4982589734666,300.258160501115,PER
5,314.62854438381396,317.530377056508,ALB
6,318.59262820512816,330.1730998265076,ALB
7,320.5726062369785,330.81188077037905,ALB
8,184.73277763160198,187.59687283932075,ALB
9,184.49343453437498,175.94412642267346,PER
10,181.02577617580602,172.21493253606852,PER
11,172.98906091781387,167.2624010258958,PER
12,244.15984594068584,246.94881783188268,ALB
13,270.21230568384874,240.99923422126318,PER
14,274.36791051278436,257.88982703386216,PER
15,274.21962962962965,254.84892990151957,PER
16,171.9980295924463,165.37283212297015,PER
17,180.963795956139,173.15708441859758,PER
18,230.4535456484127,227.64455386835718,PER
19,281.63432876705815,277.9544504489827,PER
20,303.56038957126043,302.33970725687647,PER
21,309.62558107051865,308.98378829029394,PER
22,308.7344357430857,307.76479584190474,PER
23,241.1636957125336,231.62756231763433,PER
24,109.48072554765261,108.57124329033033,PER
25,223.8250048,,PER
