Minisector,PER,STR,Fastest
0,291.60918150949345,290.46477019083926,PER
1,300.5865312964265,298.74204541090904,PER
2,304.8270751079739,303.4564979326984,PER
3,298.78666549841273,295.1833035009702,PER
4,172.52955561634408,159.91549311731137,PER
5,207.19520802552609,208.62309530257863,STR
6,232.69006571439675,236.63583284977776,STR
7,264.98859931552,262.24208301087947,PER
8,250.35924671311332,247.25906100538037,PER
9,162.02719425918607,157.21354401391758,PER
10,221.01664566239785,225.6586923902208,STR
11,130.43339817468458,125.34250874173267,PER
12,231.42410946367573,222.33829015110842,PER
13,178.5563274700529,171.9488735162593,PER
14,215.15770791966386,214.51319758527288,PER
15,245.9847729648485,238.0077886002886,PER
16,264.1051917798942,258.6229023670387,PER
17,287.529709836555,281.26463583386317,PER
18,161.0813491619822,150.79804814566876,PER
19,171.36397378534588,158.97320310379024,PER
20,143.85369625305205,137.52540718526376,PER
21,232.1026758164671,223.03297607042717,PER
22,264.78838316103617,260.3909128281934,PER
23,247.7229894690909,250.14970332577477,STR
24,280.0940038460024,272.1818271559931,PER
25,,283.9041664,STR
