Minisector,ALO,SAI,Fastest
0,293.87666282666663,303.122000384,SAI
1,158.771121954544,158.07269432916732,ALO
2,150.54781423074047,154.51417367795378,SAI
3,222.3687432775988,221.74091827411482,ALO
4,283.33659503542856,287.9013117085188,SAI
5,290.76433352533337,299.9351191055901,SAI
6,144.72494942012676,146.62871132698945,SAI
7,141.06778258857796,138.68249155458875,ALO
8,145.59658818358974,153.05127457474535,SAI
9,180.19499468902043,172.92886727693445,ALO
10,128.30786234862822,132.4364748276457,SAI
11,125.97644101812242,126.54441211906224,SAI
12,167.00983665500473,160.39214229702208,ALO
13,266.95178894528436,266.2432021740783,ALO
14,285.94947405300934,294.2663333546667,SAI
15,150.1083538012101,151.4728020108458,SAI
16,210.4664284952381,212.2659500354992,SAI
17,166.6611159783429,162.71095942978874,ALO
18,269.33297752879275,268.2256408205128,ALO
19,293.96683336533334,294.5689733142857,SAI
20,308.0400432900433,308.5904337191963,SAI
21,316.77228271304347,315.731884057971,ALO
22,319.6666666666667,318.03374375232676,ALO
23,323.14278337163506,323.0360660294372,ALO
24,315.39071975757577,324.3235159491336,SAI
25,312.3208330666667,324.2916664888889,SAI
