Minisector,RUS,HUL,Fastest
0,317.4884799340606,309.09458876453203,RUS
1,323.44306045238096,303.61039950145755,RUS
2,164.02609091444225,163.1046874984795,RUS
3,151.7037485180952,154.95796255142955,HUL
4,200.87781706759057,197.54646215555113,RUS
5,150.76395642971428,145.86017653355455,RUS
6,201.11267230911568,196.68285324666442,RUS
7,272.5120345537255,268.0741356629212,RUS
8,291.76935216592597,284.7689186536548,RUS
9,280.29668304190477,275.165530205042,RUS
10,229.5178835817143,234.01031622604626,HUL
11,232.46079496821082,232.64053863081233,HUL
12,216.11213653024154,224.2383464795031,HUL
13,177.12009993900836,184.7095570205701,HUL
14,133.37929741629628,132.5514193815089,RUS
15,132.74198361374636,128.9464376401006,RUS
16,192.92023347889307,184.7382588409448,RUS
17,268.15089172952383,267.43074250222224,RUS
18,191.98201449426128,213.71426171589644,HUL
19,112.20025302432676,112.2600357488835,HUL
20,202.71545651864733,205.84930752391782,HUL
21,186.66914149436624,179.36079840282187,RUS
22,245.19914958909808,243.42635891186882,RUS
23,275.4261378677618,276.69985873992675,HUL
24,303.37015721333336,302.16292484,RUS
25,313.51428571428573,310.0597223111111,RUS
