Minisector,LEC,VER,Fastest
0,288.80079210574314,288.0461948355019,LEC
1,295.7511004025895,291.92128662,LEC
2,164.69012849662337,173.01803707044368,VER
3,220.61453721125346,221.4721544909804,VER
4,272.66165118239894,270.095889158394,LEC
5,294.15437064400487,292.67130199997166,LEC
6,300.16873026750585,302.9562242742857,VER
7,176.12526755714026,180.95261278056884,VER
8,125.73377217442246,124.3202697691003,LEC
9,248.30130327953214,251.60553722893317,VER
10,284.5406984,293.57863856839987,VER
11,296.64225015945567,307.4732043342857,VER
12,150.49974845454207,148.57492820924256,LEC
13,197.40744974585215,180.58897741721262,LEC
14,256.8330511280423,255.2770029353746,LEC
15,202.8442568772136,211.76442368927536,VER
16,225.38710218182916,216.17645328974197,LEC
17,220.3537469109226,219.30134376699897,LEC
18,248.27340566336616,249.6107063573333,VER
19,280.3093045688889,278.4614032673103,LEC
20,296.82042132374704,295.7082138379832,LEC
21,270.12086906236766,270.1922222114486,VER
22,231.97823689650795,229.0617370926089,LEC
23,208.28080918511506,208.76507662268398,VER
24,265.23850468350787,263.67193472329143,LEC
25,,280.1625,VER
