Minisector,RUS,LEC,Fastest
0,296.8299523356914,293.70869081142854,RUS
1,305.3689275140773,304.83650318702234,RUS
2,289.29620567741927,291.0997871809774,LEC
3,109.33598616360315,107.9917191861308,RUS
4,234.4234478379149,216.1763694050602,RUS
5,278.69652500116877,273.72752915147623,RUS
6,190.9139797058782,215.87750327209966,LEC
7,164.79157016889536,149.24187660981283,RUS
8,198.86040124285032,204.97978469710964,LEC
9,208.17780702312925,219.76863376782222,LEC
10,123.22095708558824,120.09281578253568,RUS
11,232.11498031705406,225.3584831594053,RUS
12,114.81526393010333,117.19978477489936,LEC
13,225.40718107238095,218.410209325364,RUS
14,282.00820516087003,274.38375989394024,RUS
15,203.32858975632183,234.79593821147742,LEC
16,195.75788713521968,180.6911534893295,RUS
17,241.76213122452106,250.09543231153438,LEC
18,189.45694721733832,212.9320479578326,LEC
19,192.6412152667858,171.3793349881638,RUS
20,267.2674514055032,262.1360249611111,RUS
21,294.50057079920634,286.6430171043609,RUS
22,174.1948901128319,181.86337907830688,LEC
23,217.79843376229272,193.98555823903376,RUS
24,274.3854369567347,274.31500843699473,RUS
25,287.0333340444444,286.25,RUS
