Minisector,OCO,GAS,Fastest
0,263.5352902339416,260.6510051678161,OCO
1,134.89015989817386,135.69468098743334,GAS
2,265.9996618892377,263.759756291047,OCO
3,307.8847750359008,300.7727926031746,OCO
4,307.07521047960887,296.1172009777655,OCO
5,313.64822592513576,304.50138880000003,OCO
6,319.0496528,309.4361109777778,OCO
7,316.90973375508753,310.40758115555553,OCO
8,202.70608284929736,202.35206734182785,OCO
9,197.67253924736164,200.57930792198,GAS
10,185.04012116462587,177.89963989866786,OCO
11,161.15457744344428,171.145251422791,GAS
12,252.7158346361215,254.62005259770115,GAS
13,277.4052467753086,276.1936729283951,OCO
14,278.2662501058495,275.0632589525118,OCO
15,269.69751189659866,270.30480286371096,GAS
16,185.23250200121194,185.1263024324694,OCO
17,188.78099214144154,192.5445786401048,GAS
18,242.48396921691787,241.26981116463105,OCO
19,289.4865710384762,285.56707865787547,OCO
20,312.93883332266665,304.3169260935747,OCO
21,319.7383453371981,310.796499968,OCO
22,318.89484326623415,309.47539682539684,OCO
23,261.13339875002646,247.56156779729844,OCO
24,113.37889197945454,116.7197184217687,GAS
25,229.27860287815048,,OCO
