Minisector,GAS,MAG,Fastest
0,265.45119557023065,268.5630695836867,MAG
1,248.8948838233766,248.8573625509957,GAS
2,118.07919362762733,119.4360265614255,MAG
3,163.99719887899337,170.4565044696296,MAG
4,187.7877029169665,192.88380976838096,MAG
5,194.71073772464072,190.9516431068033,GAS
6,262.9821328872727,264.8462335498039,MAG
7,284.7467412123077,284.8941527717813,MAG
8,226.62803010986667,236.1673698296159,MAG
9,140.52844004734078,143.9831774203003,MAG
10,113.6596240837577,110.98865493298162,GAS
11,151.2805177468476,147.36416661560514,GAS
12,240.53971995844157,240.23705778743377,GAS
13,150.43472642573585,158.58430948761026,MAG
14,141.79149706244382,139.79376743597882,GAS
15,109.5824383173502,110.60763799054499,MAG
16,215.15665183183097,210.02009619761762,GAS
17,229.25731395230477,242.6866703078788,MAG
18,125.38009753809524,122.70845870116288,GAS
19,240.1440981342126,234.03367589114376,GAS
20,273.4258487260212,272.2188481457588,GAS
21,204.39159026997848,219.5174393663104,MAG
22,139.61840604562482,134.5808419976945,GAS
23,215.48850996552093,211.9069041853013,GAS
24,224.64737253785134,216.6452771111111,GAS
25,,253.74666837333334,MAG
