Minisector,SAI,TSU,Fastest
0,299.1504408324208,287.77412266666664,SAI
1,310.7836472049696,294.47543848421054,SAI
2,160.47183679360387,163.42377418039214,TSU
3,216.73517618286732,217.43884917414553,TSU
4,274.07521903157897,270.23452413968255,SAI
5,298.2727580023236,291.7120368592593,SAI
6,311.714625960215,297.9898804902365,SAI
7,179.87085297142858,175.80328379061206,SAI
8,118.65137499802286,118.25449108843748,SAI
9,249.95456365714284,245.1386277932976,SAI
10,293.9494815904435,285.205184044883,SAI
11,311.2895828740741,302.127632,SAI
12,142.40142882169678,142.33088776979602,SAI
13,188.07334164353742,185.73524589931975,SAI
14,255.38985456279656,257.04049516587014,TSU
15,204.78466963646227,202.42623379753084,SAI
16,214.3024977989871,203.38794169497953,SAI
17,216.6765591505743,204.95110801867315,SAI
18,240.32047100289856,240.08057324329005,SAI
19,271.35341488120304,275.69916659300816,TSU
20,287.881071734996,296.00895987969926,TSU
21,266.37604513595613,249.94246105396823,SAI
22,228.17798941524,212.44124657271192,SAI
23,201.0748395076923,203.46033939753087,TSU
24,259.93002232263956,264.8558309390579,TSU
25,277.9833344,,SAI
