Minisector,BOT,SAI,Fastest
0,273.5326657040866,267.2402326192431,BOT
1,293.8111174343947,286.7000032644184,BOT
2,301.9672615372541,292.18786991531834,BOT
3,128.27495768674734,125.75517200592446,BOT
4,190.98346329011926,196.77855987119221,SAI
5,257.5018763857798,254.53487149134045,BOT
6,139.74321525199025,137.0729362554697,BOT
7,201.2660099011084,200.0495929866322,BOT
8,260.17454429822294,257.3190844675078,BOT
9,281.64108699440396,280.1079824055884,BOT
10,222.51224401731858,230.70342541328915,SAI
11,175.00527887302644,171.4649236059424,BOT
12,184.5013606650815,187.4974803280432,SAI
13,143.8552159682135,139.39445037879875,BOT
14,176.92309226360874,170.07648355238095,BOT
15,158.79249933077026,152.57012517991294,BOT
16,214.52450709575098,213.6671848250776,BOT
17,234.59076679792187,229.05690878573145,BOT
18,238.63084571268965,228.2148929018474,BOT
19,237.86715812550642,241.29436191162017,SAI
20,143.2400505400433,140.1756292879685,BOT
21,132.5608153774448,133.7272372542933,SAI
22,164.41362726667208,161.9281388821005,BOT
23,147.18754268587853,142.4213768422553,BOT
24,226.7008974750275,224.28051837455752,BOT
25,256.25,,BOT
